#options: 1000x570 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=290 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:63 out:60 type:P dur:2 cpbdur:2 q:37.47 aq:27.28 tex:108387 mv:5723 misc:914 imb:1050 pmb:119 smb:1099 d:s ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:37.39 aq:31.04 tex:9290 mv:3287 misc:1327 imb:103 pmb:455 smb:1710 d:s ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:37.35 aq:25.73 tex:229 mv:403 misc:512 imb:11 pmb:136 smb:2121 d:s ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:37.43 aq:25.84 tex:1150 mv:2111 misc:1083 imb:66 pmb:319 smb:1883 d:- ref:0 ;
in:67 out:64 type:P dur:2 cpbdur:2 q:39.82 aq:20.41 tex:31 mv:19 misc:206 imb:2 pmb:0 smb:2266 d:s ref:0 ;
in:65 out:65 type:B dur:2 cpbdur:2 q:38.65 aq:40.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:64 out:66 type:b dur:2 cpbdur:2 q:38.06 aq:41.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:66 out:67 type:b dur:2 cpbdur:2 q:39.24 aq:42.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:71 out:68 type:P dur:2 cpbdur:2 q:41.00 aq:30.06 tex:751 mv:811 misc:854 imb:34 pmb:168 smb:2066 d:s ref:0 ;
in:69 out:69 type:B dur:2 cpbdur:2 q:40.41 aq:41.00 tex:3 mv:96 misc:325 imb:0 pmb:23 smb:2245 d:t ref:0 ;
in:68 out:70 type:b dur:2 cpbdur:2 q:40.12 aq:43.00 tex:1 mv:53 misc:234 imb:0 pmb:10 smb:2258 d:s ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:40.70 aq:44.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:75 out:72 type:P dur:2 cpbdur:2 q:42.20 aq:28.52 tex:1373 mv:1308 misc:703 imb:323 pmb:66 smb:1879 d:s ref:0 ;
in:73 out:73 type:B dur:2 cpbdur:2 q:41.60 aq:30.82 tex:86 mv:976 misc:810 imb:26 pmb:201 smb:2041 d:s ref:0 ;
in:72 out:74 type:b dur:2 cpbdur:2 q:41.30 aq:44.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:41.90 aq:33.17 tex:68 mv:445 misc:823 imb:11 pmb:209 smb:2048 d:- ref:0 ;
in:77 out:76 type:P dur:2 cpbdur:2 q:43.15 aq:35.54 tex:24520 mv:4320 misc:904 imb:1070 pmb:81 smb:1117 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:42.67 aq:32.45 tex:104 mv:746 misc:974 imb:19 pmb:244 smb:2005 d:s ref:0 ;
in:79 out:78 type:P dur:2 cpbdur:2 q:45.32 aq:36.57 tex:21156 mv:4604 misc:1016 imb:1174 pmb:47 smb:1047 d:s ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:44.24 aq:43.04 tex:4320 mv:3244 misc:1412 imb:156 pmb:380 smb:1732 d:s ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:45.20 aq:33.77 tex:37487 mv:4888 misc:889 imb:1011 pmb:100 smb:1157 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:45.26 aq:40.65 tex:1660 mv:2490 misc:1314 imb:110 pmb:324 smb:1834 d:s ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:44.90 aq:35.01 tex:9682 mv:2733 misc:1177 imb:253 pmb:205 smb:1810 d:s ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:45.05 aq:35.33 tex:159 mv:916 misc:829 imb:34 pmb:205 smb:2029 d:s ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:44.57 aq:35.46 tex:14983 mv:2745 misc:1144 imb:240 pmb:269 smb:1759 d:s ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:44.74 aq:33.04 tex:83 mv:693 misc:1032 imb:11 pmb:257 smb:2000 d:s ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:44.82 aq:36.71 tex:498 mv:2532 misc:1122 imb:60 pmb:344 smb:1864 d:s ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:44.66 aq:48.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:43.87 aq:33.69 tex:348 mv:140 misc:328 imb:6 pmb:18 smb:2244 d:s ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:44.22 aq:45.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:44.40 aq:47.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:44.05 aq:47.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:43.09 aq:28.10 tex:95 mv:88 misc:265 imb:8 pmb:3 smb:2257 d:s ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:43.48 aq:44.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:43.68 aq:47.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:43.29 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:43.38 aq:34.16 tex:541 mv:1531 misc:928 imb:43 pmb:196 smb:2029 d:s ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:43.24 aq:31.72 tex:61 mv:512 misc:851 imb:6 pmb:191 smb:2071 d:s ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:43.17 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:43.31 aq:35.00 tex:82 mv:526 misc:600 imb:9 pmb:107 smb:2152 d:- ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:44.05 aq:32.57 tex:1316 mv:1890 misc:1058 imb:157 pmb:128 smb:1983 d:s ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:43.71 aq:34.81 tex:123 mv:504 misc:877 imb:13 pmb:226 smb:2029 d:s ref:0 ;
in:103 out:102 type:P dur:2 cpbdur:2 q:44.08 aq:36.62 tex:13865 mv:3330 misc:965 imb:533 pmb:95 smb:1640 d:s ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:44.06 aq:38.35 tex:714 mv:1151 misc:1119 imb:31 pmb:288 smb:1949 d:s ref:0 ;
in:106 out:104 type:P dur:2 cpbdur:2 q:43.99 aq:35.51 tex:30553 mv:4679 misc:880 imb:1176 pmb:67 smb:1025 d:s ref:0 ;
in:104 out:105 type:B dur:2 cpbdur:2 q:44.05 aq:38.87 tex:9574 mv:4732 misc:1406 imb:282 pmb:393 smb:1593 d:s ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:44.02 aq:41.98 tex:4969 mv:3443 misc:1212 imb:186 pmb:375 smb:1707 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:43.68 aq:31.65 tex:32842 mv:4164 misc:1106 imb:498 pmb:236 smb:1534 d:s ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:43.64 aq:35.46 tex:10453 mv:3327 misc:1140 imb:309 pmb:339 smb:1620 d:s ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:43.66 aq:41.99 tex:495 mv:1406 misc:811 imb:8 pmb:238 smb:2022 d:s ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:43.67 aq:38.70 tex:90 mv:620 misc:754 imb:14 pmb:216 smb:2038 d:s ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:43.65 aq:47.00 tex:32 mv:82 misc:342 imb:0 pmb:32 smb:2236 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:43.09 aq:33.17 tex:429 mv:73 misc:266 imb:5 pmb:7 smb:2256 d:s ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:43.37 aq:44.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:43.50 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:43.23 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:42.47 aq:25.16 tex:189 mv:99 misc:272 imb:9 pmb:4 smb:2255 d:s ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:42.78 aq:44.00 tex:0 mv:0 misc:192 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:42.94 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:s ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:42.63 aq:46.00 tex:0 mv:0 misc:176 imb:0 pmb:0 smb:2268 d:- ref:0 ;
in:122 out:120 type:P dur:2 cpbdur:2 q:42.13 aq:31.62 tex:5685 mv:1972 misc:951 imb:274 pmb:81 smb:1913 d:s ref:0 ;
in:120 out:121 type:B dur:2 cpbdur:2 q:42.36 aq:32.47 tex:129 mv:732 misc:843 imb:30 pmb:235 smb:2003 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:42.25 aq:37.04 tex:160 mv:623 misc:601 imb:27 pmb:165 smb:2076 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:42.58 aq:32.27 tex:13005 mv:3340 misc:951 imb:561 pmb:118 smb:1589 d:s ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:42.70 aq:33.33 tex:13773 mv:4192 misc:963 imb:774 pmb:125 smb:1369 d:s ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:43.19 aq:34.11 tex:26000 mv:4801 misc:815 imb:1024 pmb:71 smb:1173 d:s ref:0 ;
in:127 out:126 type:P dur:2 cpbdur:2 q:43.38 aq:33.23 tex:34447 mv:5276 misc:909 imb:1103 pmb:89 smb:1076 d:s ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:43.28 aq:34.73 tex:174 mv:607 misc:771 imb:29 pmb:195 smb:2044 d:s ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:43.31 aq:33.22 tex:30021 mv:4554 misc:1073 imb:514 pmb:228 smb:1526 d:s ref:0 ;
